date,regime,executed,ret_bench,ret_strategy,eq_strategy,eq_benchmark
2022-01-03,1,0,0.00960227,0.00950624,1.00950600,1.00960200
2022-01-04,1,1,-0.01295324,-0.03885971,0.97027700,0.99652500
2022-01-05,1,1,-0.03071558,-0.09214673,0.88086900,0.96591600
2022-01-06,0,1,-0.00071960,-0.00215879,0.87896800,0.96522100
2022-01-07,0,0,-0.01082840,-0.01072012,0.86954500,0.95476900
2022-01-10,0,0,0.00064711,0.00064064,0.87010200,0.95538700
2022-01-11,0,0,0.01503557,0.01488521,0.88305400,0.96975200
2022-01-12,0,0,0.00395540,0.00391585,0.88651200,0.97358700
2022-01-13,0,0,-0.02501388,-0.02476374,0.86455800,0.94923400
2022-01-14,-1,0,0.00623763,0.00617525,0.86989700,0.95515500
2022-01-18,-1,-1,-0.02490365,0.00000000,0.86989700,0.93136800
2022-01-19,1,-1,-0.01097322,0.00000000,0.86989700,0.92114800
2022-01-20,-1,1,-0.01299536,-0.03898608,0.83598300,0.90917800
2022-01-21,-1,-1,-0.02772036,0.00000000,0.83598300,0.88397500
2022-01-24,-1,-1,0.00457219,0.00000000,0.83598300,0.88801600
2022-01-25,-1,-1,-0.02319177,0.00000000,0.83598300,0.86742200
2022-01-26,-1,-1,-0.00157293,0.00000000,0.83598300,0.86605700
2022-01-27,-1,-1,-0.01004697,0.00000000,0.83598300,0.85735600
2022-01-28,-1,-1,0.03134759,0.00000000,0.83598300,0.88423200
2022-01-31,-1,-1,0.03199604,0.00000000,0.83598300,0.91252400
2022-02-01,-1,-1,0.00679888,0.00000000,0.83598300,0.91872800
2022-02-02,0,-1,0.00812598,0.00000000,0.83598300,0.92619400
2022-02-03,-1,0,-0.04055256,-0.04014703,0.80242100,0.88863400
2022-02-04,1,-1,0.01263073,0.00000000,0.80242100,0.89985800
2022-02-07,-1,1,-0.00803891,-0.02411672,0.78306900,0.89262500
2022-02-08,-1,-1,0.01121878,0.00000000,0.78306900,0.90263900
2022-02-09,1,-1,0.02119043,0.00000000,0.78306900,0.92176600
2022-02-10,-1,1,-0.02262191,-0.06786572,0.72992600,0.90091400
2022-02-11,-1,-1,-0.03171791,0.00000000,0.72992600,0.87233900
2022-02-14,-1,-1,0.00123945,0.00000000,0.72992600,0.87342000
2022-02-15,-1,-1,0.02484673,0.00000000,0.72992600,0.89512200
2022-02-16,0,-1,-0.00025884,0.00000000,0.72992600,0.89489000
2022-02-17,-1,0,-0.02974512,-0.02944767,0.70843100,0.86827100
2022-02-18,-1,-1,-0.01138520,0.00000000,0.70843100,0.85838600
2022-02-22,-1,-1,-0.01004679,0.00000000,0.70843100,0.84976200
2022-02-23,-1,-1,-0.02562937,0.00000000,0.70843100,0.82798300
2022-02-24,-1,-1,0.03361005,0.00000000,0.70843100,0.85581200
2022-02-25,-1,-1,0.01552160,0.00000000,0.70843100,0.86909500
2022-02-28,-1,-1,0.00296209,0.00000000,0.70843100,0.87166900
2022-03-01,-1,-1,-0.01529829,0.00000000,0.70843100,0.85833400
2022-03-02,-1,-1,0.01676564,0.00000000,0.70843100,0.87272500
2022-03-03,-1,-1,-0.01427686,0.00000000,0.70843100,0.86026500
2022-03-04,-1,-1,-0.01448365,0.00000000,0.70843100,0.84780500
2022-03-07,-1,-1,-0.03689309,0.00000000,0.70843100,0.81652700
2022-03-08,-1,-1,-0.00463459,0.00000000,0.70843100,0.81274300
2022-03-09,-1,-1,0.03598239,0.00000000,0.70843100,0.84198700
2022-03-10,-1,-1,-0.01109854,0.00000000,0.70843100,0.83264300
2022-03-11,-1,-1,-0.02074573,0.00000000,0.70843100,0.81536900
2022-03-14,-1,-1,-0.01919616,0.00000000,0.70843100,0.79971700
2022-03-15,-1,-1,0.03135361,0.00000000,0.70843100,0.82479100
2022-03-16,-1,-1,0.03711102,0.00000000,0.70843100,0.85540000
2022-03-17,-1,-1,0.01209823,0.00000000,0.70843100,0.86574800
2022-03-18,-1,-1,0.02045792,0.00000000,0.70843100,0.88346000
2022-03-21,1,-1,-0.00276823,0.00000000,0.70843100,0.88101400
2022-03-22,1,1,0.01963592,0.05890775,0.75016300,0.89831400
2022-03-23,1,1,-0.01435736,-0.04307207,0.71785200,0.88541600
2022-03-24,1,1,0.02221318,0.06663953,0.76568900,0.90508400
2022-03-25,1,1,-0.00082485,-0.00247454,0.76379500,0.90433800
2022-03-28,1,1,0.01545731,0.04637194,0.79921300,0.91831600
2022-03-29,1,1,0.01721238,0.05163714,0.84048200,0.93412300
2022-03-30,1,1,-0.01102354,-0.03307061,0.81268700,0.92382500
2022-03-31,1,1,-0.01240038,-0.03720114,0.78245400,0.91237000
2022-04-01,1,1,-0.00191868,-0.00575605,0.77795000,0.91061900
2022-04-04,1,1,0.02060894,0.06182682,0.82604900,0.92938600
2022-04-05,1,1,-0.02221484,-0.06664451,0.77099700,0.90874000
2022-04-06,1,1,-0.02169972,-0.06509915,0.72080600,0.88902000
2022-04-07,1,1,0.00237447,0.00712341,0.72594000,0.89113100
2022-04-08,1,1,-0.01398197,-0.04194592,0.69549000,0.87867200
2022-04-11,1,1,-0.02367280,-0.07101840,0.64609800,0.85787100
2022-04-12,0,1,-0.00420118,-0.01260353,0.63795400,0.85426700
2022-04-13,0,0,0.02031099,0.02010788,0.65078200,0.87161800
2022-04-14,0,0,-0.02286018,-0.02263158,0.63605400,0.85169300
2022-04-18,0,0,0.00075565,0.00074810,0.63653000,0.85233600
2022-04-19,1,0,0.02235042,0.02212691,0.65061400,0.87138600
2022-04-20,1,1,-0.01456468,-0.04369405,0.62218600,0.85869500
2022-04-21,-1,1,-0.02071591,-0.06214774,0.58351900,0.84090600
2022-04-22,1,-1,-0.02617480,0.00000000,0.58351900,0.81889600
2022-04-25,0,1,0.01285759,0.03857278,0.60602700,0.82942500
2022-04-26,0,0,-0.03774171,-0.03736429,0.58338300,0.79812100
2022-04-27,0,0,-0.00122569,-0.00121343,0.58267500,0.79714200
2022-04-28,0,0,0.03552398,0.03516874,0.60316700,0.82546000
2022-04-29,0,0,-0.04500234,-0.04455232,0.57629500,0.78831300
2022-05-02,0,0,0.01672001,0.01655281,0.58583400,0.80149300
2022-05-03,0,0,0.00105993,0.00104934,0.58644900,0.80234300
2022-05-04,1,0,0.03381782,0.03347964,0.60608300,0.82947600
2022-05-05,1,1,-0.05037088,-0.15111263,0.51449600,0.78769500
2022-05-06,0,1,-0.01199425,-0.03598274,0.49598300,0.77824700
2022-05-09,0,0,-0.03913202,-0.03874070,0.47676800,0.74779300
2022-05-10,0,0,0.01215230,0.01203078,0.48250400,0.75688000
2022-05-11,0,0,-0.02965886,-0.02936227,0.46833700,0.73443200
2022-05-12,0,0,-0.00234849,-0.00232500,0.46724800,0.73270700
2022-05-13,0,0,0.03706697,0.03669630,0.48439400,0.75986600
2022-05-16,0,0,-0.01158654,-0.01147068,0.47883800,0.75106200
2022-05-17,-1,0,0.02587832,0.02561954,0.49110500,0.77049800
2022-05-18,0,-1,-0.04908119,0.00000000,0.49110500,0.73268100
2022-05-19,-1,0,-0.00537578,-0.00532202,0.48849200,0.72874200
2022-05-20,-1,-1,-0.00310866,0.00000000,0.48849200,0.72647700
2022-05-23,-1,-1,0.01665485,0.00000000,0.48849200,0.73857600
2022-05-24,-1,-1,-0.02126176,0.00000000,0.48849200,0.72287300
2022-05-25,-1,-1,0.01399573,0.00000000,0.48849200,0.73299000
2022-05-26,-1,-1,0.02771046,0.00000000,0.48849200,0.75330200
2022-05-27,-1,-1,0.03263618,0.00000000,0.48849200,0.77788600
2022-05-31,0,-1,-0.00268061,0.00000000,0.48849200,0.77580100
2022-06-01,0,0,-0.00736660,-0.00729294,0.48492900,0.77008600
2022-06-02,0,0,0.02737848,0.02710470,0.49807300,0.79117000
2022-06-03,0,0,-0.02603065,-0.02577034,0.48523800,0.77057500
2022-06-06,-1,0,0.00334079,0.00330739,0.48684200,0.77315000
2022-06-07,0,-1,0.00862385,0.00000000,0.48684200,0.77981700
2022-06-08,0,0,-0.00719662,-0.00712465,0.48337400,0.77420500
2022-06-09,-1,0,-0.02680056,-0.02653255,0.47054900,0.75345600
2022-06-10,-1,-1,-0.03526035,0.00000000,0.47054900,0.72688900
2022-06-13,-1,-1,-0.04650092,0.00000000,0.47054900,0.69308800
2022-06-14,-1,-1,0.00182001,0.00000000,0.47054900,0.69434900
2022-06-15,-1,-1,0.02498888,0.00000000,0.47054900,0.71170000
2022-06-16,-1,-1,-0.04036750,0.00000000,0.47054900,0.68297100
2022-06-17,-1,-1,0.01217490,0.00000000,0.47054900,0.69128600
2022-06-21,-1,-1,0.02521134,0.00000000,0.47054900,0.70871400
2022-06-22,-1,-1,-0.00145296,0.00000000,0.47054900,0.70768400
2022-06-23,-1,-1,0.01491451,0.00000000,0.47054900,0.71823900
2022-06-24,-1,-1,0.03426523,0.00000000,0.47054900,0.74285000
2022-06-27,0,-1,-0.00734683,0.00000000,0.47054900,0.73739200
2022-06-28,-1,0,-0.03047759,-0.03017281,0.45635100,0.71491800
2022-06-29,-1,-1,0.00093623,0.00000000,0.45635100,0.71558800
2022-06-30,-1,-1,-0.01241141,0.00000000,0.45635100,0.70670600
2022-07-01,-1,-1,0.00659333,0.00000000,0.45635100,0.71136600
2022-07-05,-1,-1,0.01711721,0.00000000,0.45635100,0.72354200
2022-07-06,-1,-1,0.00640433,0.00000000,0.45635100,0.72817600
2022-07-07,0,-1,0.02142403,0.00000000,0.45635100,0.74377700
2022-07-08,0,0,0.00124602,0.00123356,0.45691400,0.74470300
2022-07-11,0,0,-0.02136338,-0.02114975,0.44725000,0.72879400
2022-07-12,0,0,-0.00967856,-0.00958177,0.44296500,0.72174000
2022-07-13,0,0,-0.00206877,-0.00204808,0.44205800,0.72024700
2022-07-14,0,0,0.00357424,0.00353849,0.44362200,0.72282100
2022-07-15,0,0,0.01812807,0.01794679,0.45158300,0.73592500
2022-07-18,0,0,-0.00846539,-0.00838073,0.44779900,0.72969500
2022-07-19,0,0,0.03076380,0.03045617,0.46143700,0.75214300
2022-07-20,0,0,0.01584694,0.01568847,0.46867600,0.76406200
2022-07-21,1,0,0.01435310,0.01420957,0.47533600,0.77502900
2022-07-22,1,1,-0.01753803,-0.05261410,0.45032700,0.76143600
2022-07-25,1,1,-0.00567990,-0.01703969,0.44265300,0.75711200
2022-07-26,0,1,-0.01965318,-0.05895954,0.41655500,0.74223200
2022-07-27,0,0,0.04224473,0.04182228,0.43397600,0.77358700
2022-07-28,0,0,0.00978369,0.00968586,0.43817900,0.78115600
2022-07-29,0,0,0.01825732,0.01807474,0.44609900,0.79541800
2022-08-01,-1,0,-0.00061493,-0.00060878,0.44582800,0.79492900
2022-08-02,-1,-1,-0.00297937,0.00000000,0.44582800,0.79256000
2022-08-03,-1,-1,0.02721928,0.00000000,0.44582800,0.81413300
